Nid,DLL Author Record,Authorized Name,Author Name Latin,Author Name English,Author Name Native Language,Also known as,Other Alternative Name Form(s),Time Period,LoC Source,LofC URI,LoC ID,VIAF Source,PHI Author Name,Perseus Name,BNE Name,BNF Name,DNB Name,ICCU Name,ISNI Name,WorldCat Identity
91407,"91407 : Manuzio, Aldo, 1449 or 1450-1515","Manuzio, Aldo, 1449 or 1450-1515",Aldus Manutius,,Aldo Manuzio,,Aldus Manutius the Elder,Neo-Latin,https://lccn.loc.gov/n79117173,http://id.loc.gov/authorities/names/n79117173,n79117173,https://viaf.org/viaf/96325760,,,"Manuccio, Aldo (ca. 1450-1515)","Manuzio, Aldo (1450?-1515)","Manuzio, Aldo Pio","Manuzio, Aldo ","Manuzio, Aldo, 1449 or 50-1515",https://www.worldcat.org/identities/lccn-n79117173/
70964,"70964 : Manuzio, Aldo, 1547-1597","Manuzio, Aldo, 1547-1597",Aldus Manutius,Aldus Manutius the Younger,Aldo Manuzio,,,Neo-Latin,http://lccn.loc.gov/n88132189,https://id.loc.gov/authorities/names/n88132189,n88132189,http://viaf.org/viaf/34630140,,,,Manuzio Aldo 1547-1597,"Manuzio, Aldo 1547-1597","Manuzio , Aldo ","Manutius, Aldus 1547-1597 d.y",https://www.worldcat.org/identities/lccn-n88132189
89380,"89380 : Manuzio, Paolo, 1512-1574","Manuzio, Paolo, 1512-1574",,,,,,Neo-Latin,https://lccn.loc.gov/n81028010,http://id.loc.gov/authorities/names/n81028010,n81028010,https://viaf.org/viaf/120694653,,,,,,,,
89792,"89792 : Map, Walter, active 1200","Map, Walter, active 1200",Gualterius Mappus,Walter Map,,,,Neo-Latin,https://lccn.loc.gov/n82125110,https://id.loc.gov/authorities/names/n82125110,n82125110,https://viaf.org/viaf/98031958,,"Map, Walter, fl. 1200",,Map Walter 1140?-1209?,"Map, Walter 1140-1209",,"Map, Gautier 1200 fl",https://www.worldcat.org/identities/lccn-n82125110
45023,45023 : Mapinius Remensis,Mapinius Remensis,Mapinius Remensis,Mapinius of Reims,Mappinius Remensis,,,Classical,,,,http://viaf.org/viaf/71786207,,,,,Mapinius Remensis -551,,,
45024,"45024 : Marbode, Bishop of Rennes, 1035?-1123","Marbode, Bishop of Rennes, 1035?-1123",Marbodus Redonensis,Marbod of Rennes,Marbod de Rennes,,,Medieval,http://lccn.loc.gov/n87900564,https://id.loc.gov/authorities/names/n87900564,n87900564,http://viaf.org/viaf/241082057,,"Marbode, Bishop of Rennes, 1035?-1123",,Marbode 103.-1123,Marbodus Redonensis 1035-1123,Marbodus : Redonensis,Marbod 1035-1123 Bishop of Rennes,https://www.worldcat.org/identities/lccn-n87900564
45025,"45025 : Marcellinus, comes","Marcellinus, comes",Marcellinus Comes,Marcellinus Comes,,,,Medieval,http://lccn.loc.gov/no95028556,https://id.loc.gov/authorities/names/no95028556,no95028556,http://viaf.org/viaf/293763956,,"Marcellinus, comes, fl. 500-534",,Marcellinus Comes ....-0534?,Marcellinus Comes -534,,,https://www.worldcat.org/identities/lccn-no95028556
45026,"45026 : Marcellinus, Pope","Marcellinus, Pope",Marcellinus Papa,Pope Marcellinus,Marcellinus papa,,,Classical,http://lccn.loc.gov/nb2007022765,https://id.loc.gov/authorities/names/nb2007022765,nb2007022765,http://viaf.org/viaf/103009367,,"Marcellinus, Pope, - 304",,Marcellin 03..-03..,Marcellinus Papst -304,,,https://www.worldcat.org/identities/lccn-nb2007022765
45028,45028 : Marcellus Memorialis,Marcellus Memorialis,Marcellus Memorialis,Marcel of Carthage,Marcellus Episcopus,,,Classical,,,,http://viaf.org/viaf/61941582,,,,,Marcellus Memorialis 411,,,
45027,"45027 : Marcellus, Empiricus","Marcellus, Empiricus","Marcellus Empiricus, Marcellus Burdigalensis",Marcellus Empiricus,,,,Classical,http://lccn.loc.gov/n83218012,https://id.loc.gov/authorities/names/n83218012,n83218012,http://viaf.org/viaf/3266886,,"Marcellus, Empiricus",,,,,Marcellus,
